"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"DOWN.GSE7509_FCGRIIB_VS_TNFA_IL1B_IL6_PGE_STIM_DC_DN","GSE7509_FCGRIIB_VS_TNFA_IL1B_IL6_PGE_STIM_DC_DN","GSE7509_FCGRIIB_VS_TNFA_IL1B_IL6_PGE_STIM_DC_DN","2/9","154/21525",0.012987012987013,31.0606060606061,7.65680609869531,0.0017714370596066,0.0819078538578528,0.0814288605604385,"ENSG00000158578/ENSG00000229807",2
"DOWN.GSE5099_CLASSICAL_M1_VS_ALTERNATIVE_M2_MACROPHAGE_UP","GSE5099_CLASSICAL_M1_VS_ALTERNATIVE_M2_MACROPHAGE_UP","GSE5099_CLASSICAL_M1_VS_ALTERNATIVE_M2_MACROPHAGE_UP","2/9","195/21525",0.0102564102564103,24.5299145299145,6.75062846293396,0.00281892671448649,0.0819078538578528,0.0814288605604385,"ENSG00000270641/ENSG00000229807",2
"DOWN.GSE22886_NEUTROPHIL_VS_MONOCYTE_UP","GSE22886_NEUTROPHIL_VS_MONOCYTE_UP","GSE22886_NEUTROPHIL_VS_MONOCYTE_UP","2/9","198/21525",0.0101010101010101,24.1582491582492,6.69538278666165,0.00290466417525813,0.0819078538578528,0.0814288605604385,"ENSG00000186871/ENSG00000173809",2
"DOWN.GSE39820_CTRL_VS_IL1B_IL6_CD4_TCELL_UP","GSE39820_CTRL_VS_IL1B_IL6_CD4_TCELL_UP","GSE39820_CTRL_VS_IL1B_IL6_CD4_TCELL_UP","2/9","199/21525",0.0100502512562814,24.036850921273,6.67723907557211,0.00293351603567019,0.0819078538578528,0.0814288605604385,"ENSG00000186871/ENSG00000229807",2
"DOWN.GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_TREATED_DN","GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_TREATED_DN","GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_TREATED_DN","2/9","200/21525",0.01,23.9166666666667,6.65922830187103,0.00296250409444724,0.0819078538578528,0.0814288605604385,"ENSG00000186871/ENSG00000067842",2
"DOWN.GSE360_L_DONOVANI_VS_L_MAJOR_DC_UP","GSE360_L_DONOVANI_VS_L_MAJOR_DC_UP","GSE360_L_DONOVANI_VS_L_MAJOR_DC_UP","2/9","200/21525",0.01,23.9166666666667,6.65922830187103,0.00296250409444724,0.0819078538578528,0.0814288605604385,"ENSG00000158578/ENSG00000067842",2
"DOWN.GSE7852_THYMUS_VS_FAT_TCONV_DN","GSE7852_THYMUS_VS_FAT_TCONV_DN","GSE7852_THYMUS_VS_FAT_TCONV_DN","2/9","200/21525",0.01,23.9166666666667,6.65922830187103,0.00296250409444724,0.0819078538578528,0.0814288605604385,"ENSG00000158578/ENSG00000067842",2
"DOWN.GSE9239_CTRL_VS_TNF_INHIBITOR_TREATED_DC_DN","GSE9239_CTRL_VS_TNF_INHIBITOR_TREATED_DC_DN","GSE9239_CTRL_VS_TNF_INHIBITOR_TREATED_DC_DN","2/9","200/21525",0.01,23.9166666666667,6.65922830187103,0.00296250409444724,0.0819078538578528,0.0814288605604385,"ENSG00000186871/ENSG00000229807",2
"DOWN.GSE3994_WT_VS_PAC1_KO_ACTIVATED_MAST_CELL_UP","GSE3994_WT_VS_PAC1_KO_ACTIVATED_MAST_CELL_UP","GSE3994_WT_VS_PAC1_KO_ACTIVATED_MAST_CELL_UP","2/9","201/21525",0.00995024875621891,23.7976782752902,6.64134881785726,0.0029916282586214,0.0819078538578528,0.0814288605604385,"ENSG00000184368/ENSG00000067842",2
"DOWN.QIU_PBMC_HEPTATITIS_B_SURFACE_ANTIGEN_AGE_UNDER50_NON_RESPONDERS_VS_RESPONDERS_28DY_DN","QIU_PBMC_HEPTATITIS_B_SURFACE_ANTIGEN_AGE_UNDER50_NON_RESPONDERS_VS_RESPONDERS_28DY_DN","QIU_PBMC_HEPTATITIS_B_SURFACE_ANTIGEN_AGE_UNDER50_NON_RESPONDERS_VS_RESPONDERS_28DY_DN","1/9","11/21525",0.0909090909090909,217.424242424242,14.6839752902663,0.0045907641689773,0.0819078538578528,0.0814288605604385,"ENSG00000158578",1
"DOWN.HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_3DY_UP","HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_3DY_UP","HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_3DY_UP","1/9","16/21525",0.0625,149.479166666667,12.151149986495,0.00667127509024623,0.0819078538578528,0.0814288605604385,"ENSG00000158578",1
"DOWN.QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_28D_PEAK_T_CELL_RESPONSE_14DY_NEGATIVE","QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_28D_PEAK_T_CELL_RESPONSE_14DY_NEGATIVE","QI_PBMC_ZOSTAVAX_AGE_50_75YO_CORRELATED_WITH_28D_PEAK_T_CELL_RESPONSE_14DY_NEGATIVE","1/9","37/21525",0.027027027027027,64.6396396396396,7.92378265837363,0.0153672750103351,0.0819078538578528,0.0814288605604385,"ENSG00000186871",1
"DOWN.HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_7DY_UP","HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_7DY_UP","HOEK_PBMC_INACTIVATED_INFLUENZA_ADULT_7DY_UP","1/9","50/21525",0.02,47.8333333333333,6.7807145799382,0.0207165390274534,0.0819078538578528,0.0814288605604385,"ENSG00000158578",1
